sample_index,task,doc_id,mode,prompt_tokens,generated_tokens,prefill_s,decode_s,decode_steps,decode_tps,ptq_routes,fp_routes,avg_route_score
0,mmlu_abstract_algebra,0,auto,46,8,0.19610355095937848,0.6921648149145767,7,10.113198257359993,3,4,0.8041294642857143
0,mmlu_abstract_algebra,0,ptq,46,8,0.11589275201549754,0.5295405000797473,7,13.219007798168072,7,0,0.8041294642857143
0,mmlu_abstract_algebra,0,fp,46,8,0.11521370097761974,0.7053408209467307,7,9.924280279999078,0,7,0.8041294642857143
1,mmlu_abstract_algebra,1,auto,59,8,0.11744723800802603,0.6546333860605955,7,10.693007947737105,2,5,0.8002232142857143
1,mmlu_abstract_algebra,1,ptq,59,8,0.11730381299275905,0.5280555071076378,7,13.25618217361595,7,0,0.7806919642857143
1,mmlu_abstract_algebra,1,fp,59,8,0.11741488595725968,0.7058173940749839,7,9.917579332504154,0,7,0.8002232142857143
2,mmlu_abstract_algebra,2,auto,66,8,0.12138118501752615,0.6560936880414374,7,10.66920796158901,2,5,0.7857142857142857
2,mmlu_abstract_algebra,2,ptq,66,8,0.12116351799340919,0.5268720249878243,7,13.285958767998293,7,0,0.7857142857142857
2,mmlu_abstract_algebra,2,fp,66,8,0.12154035497223958,0.7063893639715388,7,9.90954897826298,0,7,0.7857142857142857
3,mmlu_abstract_algebra,3,auto,76,8,0.12405828101327643,0.7070141040021554,7,9.90079258727017,0,7,0.7589285714285714
3,mmlu_abstract_algebra,3,ptq,76,8,0.12375648302258924,0.5272394810453989,7,13.276699207200025,7,0,0.7589285714285714
3,mmlu_abstract_algebra,3,fp,76,8,0.12366848095552996,0.7065129399998114,7,9.907815701155975,0,7,0.7589285714285714
4,mmlu_abstract_algebra,4,auto,89,8,0.12808611703803763,0.657049524015747,7,10.653687042062657,2,5,0.7957589285714286
4,mmlu_abstract_algebra,4,ptq,89,8,0.1280057950061746,0.5288062829640694,7,13.237361630356473,7,0,0.7957589285714286
4,mmlu_abstract_algebra,4,fp,89,8,0.1278892169939354,0.7078007559175603,7,9.889788816240415,0,7,0.7957589285714286
5,mmlu_abstract_algebra,5,auto,84,8,0.12662068399367854,0.6808130770805292,7,10.281823654177566,1,6,0.7712053571428571
5,mmlu_abstract_algebra,5,ptq,84,8,0.12650029797805473,0.5256379380007274,7,13.317151396310196,7,0,0.7712053571428571
5,mmlu_abstract_algebra,5,fp,84,8,0.12627389404224232,0.7070069439942017,7,9.900892854678112,0,7,0.7712053571428571
6,mmlu_abstract_algebra,6,auto,77,8,0.12393062602495775,0.6548355209524743,7,10.689707225744762,2,5,0.7890625
6,mmlu_abstract_algebra,6,ptq,77,8,0.12387270398903638,0.5260545159690082,7,13.306605660642965,7,0,0.7706473214285714
6,mmlu_abstract_algebra,6,fp,77,8,0.12388844898669049,0.7098868489847519,7,9.86072641014703,0,7,0.7890625
7,mmlu_abstract_algebra,7,auto,60,8,0.11935935501242056,0.6829235869809054,7,10.25004866349084,1,6,0.7678571428571429
7,mmlu_abstract_algebra,7,ptq,60,8,0.11777981003979221,0.5257035899558105,7,13.315488297480345,7,0,0.7678571428571429
7,mmlu_abstract_algebra,7,fp,60,8,0.11765046400250867,0.7036428430001251,7,9.94822880618535,0,7,0.7678571428571429
8,mmlu_abstract_algebra,8,auto,43,8,0.11434596497565508,0.6283038670080714,7,11.141106027778237,3,4,0.8041294642857143
8,mmlu_abstract_algebra,8,ptq,43,8,0.1141077849897556,0.5260292839957401,7,13.307243936740008,7,0,0.8041294642857143
8,mmlu_abstract_algebra,8,fp,43,8,0.11415562499314547,0.7037144500063732,7,9.947216516495581,0,7,0.8041294642857143
9,mmlu_abstract_algebra,9,auto,57,8,0.11668529396411031,0.6534976820694283,7,10.711591168668159,2,5,0.7879464285714286
9,mmlu_abstract_algebra,9,ptq,57,8,0.11659278097795323,0.5248349849134684,7,13.337525510335631,7,0,0.7879464285714286
9,mmlu_abstract_algebra,9,fp,57,8,0.11714869301067665,0.7053669759770855,7,9.923912287364303,0,7,0.7879464285714286
10,mmlu_abstract_algebra,10,auto,81,8,0.12568446999648586,0.6813862239359878,7,10.273175115817441,1,6,0.7712053571428571
10,mmlu_abstract_algebra,10,ptq,81,8,0.12560024403501302,0.5256729450193234,7,13.316264544949492,7,0,0.7712053571428571
10,mmlu_abstract_algebra,10,fp,81,8,0.12533163197804242,0.7061565159237944,7,9.912816552917587,0,7,0.7712053571428571
11,mmlu_abstract_algebra,11,auto,59,8,0.11774300399702042,0.6805590020376258,7,10.285662196872968,1,6,0.7678571428571429
11,mmlu_abstract_algebra,11,ptq,59,8,0.11719893099507317,0.5240779391024262,7,13.356791953480634,7,0,0.7678571428571429
11,mmlu_abstract_algebra,11,fp,59,8,0.1170739050139673,0.7039698499138467,7,9.943607671346543,0,7,0.7678571428571429
12,mmlu_abstract_algebra,12,auto,44,8,0.11495076800929382,0.67765530385077,7,10.329735427764772,1,6,0.7862723214285714
12,mmlu_abstract_algebra,12,ptq,44,8,0.11460317799355835,0.5261258000391535,7,13.30480276671296,7,0,0.7862723214285714
12,mmlu_abstract_algebra,12,fp,44,8,0.11472074704943225,0.703959921898786,7,9.943747907010033,0,7,0.7862723214285714
13,mmlu_abstract_algebra,13,auto,110,8,0.1349631649791263,0.6303897760808468,7,11.104241003905903,3,4,0.8018973214285714
13,mmlu_abstract_algebra,13,ptq,110,8,0.1349276439868845,0.5250996010727249,7,13.330804262086115,7,0,0.8018973214285714
13,mmlu_abstract_algebra,13,fp,110,8,0.1345718950033188,0.708816752070561,7,9.875613096829245,0,7,0.7857142857142857
14,mmlu_abstract_algebra,14,auto,39,8,0.11375055502867326,0.6523409810033627,7,10.730584470154445,2,5,0.7974330357142857
14,mmlu_abstract_algebra,14,ptq,39,8,0.11378012195928022,0.5236212079762481,7,13.368442479735323,7,0,0.7974330357142857
14,mmlu_abstract_algebra,14,fp,39,8,0.11330104299122468,0.7027733539580368,7,9.960537007522879,0,7,0.7974330357142857
15,mmlu_abstract_algebra,15,auto,54,8,0.11545841995393857,0.7045128660392947,7,9.935943454593446,0,7,0.7639508928571429
15,mmlu_abstract_algebra,15,ptq,54,8,0.11588328896323219,0.525325545866508,7,13.325070625403756,7,0,0.7639508928571429
15,mmlu_abstract_algebra,15,fp,54,8,0.11533598502865061,0.7041788709466346,7,9.940656115668213,0,7,0.7639508928571429
16,mmlu_abstract_algebra,16,auto,45,8,0.11533713602693751,0.6279013630701229,7,11.148247816780504,3,4,0.7912946428571429
16,mmlu_abstract_algebra,16,ptq,45,8,0.11516634898725897,0.5240483390516602,7,13.357546390982735,7,0,0.7912946428571429
16,mmlu_abstract_algebra,16,fp,45,8,0.11545694503001869,0.7040831489721313,7,9.942007574274541,0,7,0.7912946428571429
17,mmlu_abstract_algebra,17,auto,56,8,0.11624127597315237,0.6536258080741391,7,10.709491445304144,2,5,0.7868303571428571
17,mmlu_abstract_algebra,17,ptq,56,8,0.11622790002729744,0.5234745279885828,7,13.372188379245594,7,0,0.7868303571428571
17,mmlu_abstract_algebra,17,fp,56,8,0.11598972004139796,0.7042581220739521,7,9.93953748007318,0,7,0.7868303571428571
18,mmlu_abstract_algebra,18,auto,50,8,0.11699488601880148,0.6539391158730723,7,10.704360436757662,2,5,0.7957589285714286
18,mmlu_abstract_algebra,18,ptq,50,8,0.11603003804339096,0.5257280270452611,7,13.31486936190555,7,0,0.7901785714285714
18,mmlu_abstract_algebra,18,fp,50,8,0.11610501597169787,0.7038316399557516,7,9.94556027694361,0,7,0.7935267857142857
19,mmlu_abstract_algebra,19,auto,88,8,0.12776669597951695,0.6555262351757847,7,10.678443705800566,2,5,0.78515625
